date,measure,value
1969-07-01,Cleveland median,4.238453686044451
1969-07-01,Dallas trimmed mean,3.8540561097122605
1969-08-01,Headline PCE,4.581245526127404
1969-08-01,Core PCE,4.65029761904762
1969-08-01,Cleveland median,4.43333576371225
1969-08-01,Dallas trimmed mean,4.0696292277467165
1969-09-01,Headline PCE,4.653204565408259
1969-09-01,Core PCE,4.647469828498842
1969-09-01,Cleveland median,4.395725953629139
1969-09-01,Dallas trimmed mean,3.925335485200108
1969-10-01,Headline PCE,4.5509178321678405
1969-10-01,Core PCE,4.670778638831763
1969-10-01,Cleveland median,4.389472849000214
1969-10-01,Dallas trimmed mean,3.947061270064495
1969-11-01,Headline PCE,4.649896547969078
1969-11-01,Core PCE,4.674124258179717
1969-11-01,Cleveland median,4.377051227532974
1969-11-01,Dallas trimmed mean,3.934151429469736
1969-12-01,Headline PCE,4.911975657465774
1969-12-01,Core PCE,4.749188396690755
1969-12-01,Cleveland median,4.356454961008666
1969-12-01,Dallas trimmed mean,3.9825848534472073
1970-01-01,Headline PCE,4.8765966659450015
1970-01-01,Core PCE,4.700052164840912
1970-01-01,Cleveland median,4.354128820841112
1970-01-01,Dallas trimmed mean,4.048790361253168
1970-02-01,Headline PCE,5.026183663553425
1970-02-01,Core PCE,4.741110417966297
1970-02-01,Cleveland median,4.347968106269079
1970-02-01,Dallas trimmed mean,4.052980108399311
1970-03-01,Headline PCE,4.793121977431497
1970-03-01,Core PCE,4.641415709407013
1970-03-01,Cleveland median,4.445067481887449
1970-03-01,Dallas trimmed mean,4.193578809422988
1970-04-01,Headline PCE,4.863043013053712
1970-04-01,Core PCE,4.654639175257742
1970-04-01,Cleveland median,4.463300143214639
1970-04-01,Dallas trimmed mean,4.196388190635986
1970-05-01,Headline PCE,4.7743379336068585
1970-05-01,Core PCE,4.605195605298292
1970-05-01,Cleveland median,4.471799907936585
1970-05-01,Dallas trimmed mean,4.212436855311367
1970-06-01,Headline PCE,4.539187612684259
1970-06-01,Core PCE,4.620107444359164
1970-06-01,Cleveland median,4.47108475651747
1970-06-01,Dallas trimmed mean,4.1334685558610715
1970-07-01,Headline PCE,4.46122168840084
1970-07-01,Core PCE,4.53249134243228
1970-07-01,Cleveland median,4.464369928573902
1970-07-01,Dallas trimmed mean,4.063135592615524
1970-08-01,Headline PCE,4.44900752908967
1970-08-01,Core PCE,4.601086790919723
1970-08-01,Cleveland median,4.358090017163136
1970-08-01,Dallas trimmed mean,3.983768349948164
1970-09-01,Headline PCE,4.483011744966433
1970-09-01,Core PCE,4.618108244815389
1970-09-01,Cleveland median,4.362001109609807
1970-09-01,Dallas trimmed mean,4.073722593085648
1970-10-01,Headline PCE,4.645451220149454
1970-10-01,Core PCE,4.683958700579211
1970-10-01,Cleveland median,4.357082346038709
1970-10-01,Dallas trimmed mean,4.086477188065032
1970-11-01,Headline PCE,4.604578563995858
1970-11-01,Core PCE,4.821634639506286
1970-11-01,Cleveland median,4.391927441899085
1970-11-01,Dallas trimmed mean,4.141208009113015
1970-12-01,Headline PCE,4.588771493681378
1970-12-01,Core PCE,4.958760309922525
1970-12-01,Cleveland median,4.375356262309367
1970-12-01,Dallas trimmed mean,4.134816940305313
1971-01-01,Headline PCE,4.438251535325378
1971-01-01,Core PCE,5.027153604703301
1971-01-01,Cleveland median,4.519714495929918
1971-01-01,Dallas trimmed mean,4.2403232803120545
1971-02-01,Headline PCE,4.328158733422427
1971-02-01,Core PCE,5.022831050228319
1971-02-01,Cleveland median,4.49661994941502
1971-02-01,Dallas trimmed mean,4.2326425580071
1971-03-01,Headline PCE,4.414931801866473
1971-03-01,Core PCE,4.969589081738633
1971-03-01,Cleveland median,4.414767379697949
1971-03-01,Dallas trimmed mean,4.107228914294907
1971-04-01,Headline PCE,4.295699199020461
1971-04-01,Core PCE,4.945082007585071
1971-04-01,Cleveland median,4.285867692719705
1971-04-01,Dallas trimmed mean,3.9492668990944537
1971-05-01,Headline PCE,4.39912526064181
1971-05-01,Core PCE,5.030674846625757
1971-05-01,Cleveland median,4.232944324255513
1971-05-01,Dallas trimmed mean,3.8698070710758543
1971-06-01,Headline PCE,4.590646241249871
1971-06-01,Core PCE,5.071400625978086
1971-06-01,Cleveland median,4.228054297721528
1971-06-01,Dallas trimmed mean,3.987948078666534
1971-07-01,Headline PCE,4.523400384109962
1971-07-01,Core PCE,5.071616486407478
1971-07-01,Cleveland median,4.2113417238883954
1971-07-01,Dallas trimmed mean,4.081852453501298
1971-08-01,Headline PCE,4.551870148200422
1971-08-01,Core PCE,4.855075981939123
1971-08-01,Cleveland median,4.176605173275846
1971-08-01,Dallas trimmed mean,4.008787821385297
1971-09-01,Headline PCE,4.240477743764728
1971-09-01,Core PCE,4.593144128027845
1971-09-01,Cleveland median,4.182833031335548
1971-09-01,Dallas trimmed mean,4.010584657468115
1971-10-01,Headline PCE,3.884949565564753
1971-10-01,Core PCE,4.2434447919172555
1971-10-01,Cleveland median,4.098594815582572
1971-10-01,Dallas trimmed mean,3.8640262180153115
1971-11-01,Headline PCE,3.6906242228301522
1971-11-01,Core PCE,3.9440934328929984
1971-11-01,Cleveland median,3.7487790845317903
1971-11-01,Dallas trimmed mean,3.544199386130714
1971-12-01,Headline PCE,3.639694958898687
1971-12-01,Core PCE,3.7481544982616413
1971-12-01,Cleveland median,3.6114177372561755
1971-12-01,Dallas trimmed mean,3.328406231632769
1972-01-01,Headline PCE,3.8444433463458125
1972-01-01,Core PCE,3.780834914611006
1972-01-01,Cleveland median,3.3771486097861896
1972-01-01,Dallas trimmed mean,3.114610034552385
1972-02-01,Headline PCE,3.951517540402037
1972-02-01,Core PCE,3.6672967863894144
1972-02-01,Cleveland median,3.325238511262569
1972-02-01,Dallas trimmed mean,3.0862767414970023
1972-03-01,Headline PCE,3.7568138290035904
1972-03-01,Core PCE,3.5377802901827664
1972-03-01,Cleveland median,3.321351439987424
1972-03-01,Dallas trimmed mean,3.125585321653517
1972-04-01,Headline PCE,3.507313016680527
1972-04-01,Core PCE,3.3932510442577666
1972-04-01,Cleveland median,3.3113174711957356
1972-04-01,Dallas trimmed mean,3.1460992659175417
1972-05-01,Headline PCE,3.3076773187841155
1972-05-01,Core PCE,3.182242990654217
1972-05-01,Cleveland median,3.161804970118382
1972-05-01,Dallas trimmed mean,2.957591642350849
1972-06-01,Headline PCE,3.006935350889961
1972-06-01,Core PCE,2.9834768443099904
1972-06-01,Cleveland median,3.009914221052128
