group,sample,target,lb,beta,rmse
4,long,c_0_37,2,26,3.0907378341184937
4,long,c_0_37,2,25,3.0195001022175036
4,long,c_0_37,2,24,2.948578196085722
4,long,c_0_37,2,23,2.8779369357286324
4,long,c_0_37,2,22,2.807692561737065
4,long,c_0_37,2,21,2.7374922498341285
4,long,c_0_37,2,20,2.666621976307299
4,long,c_0_37,2,19,2.5959927670717278
4,long,c_0_37,2,18,2.5250999952153856
4,long,c_0_37,2,17,2.4543277007289332
4,long,c_0_37,2,16,2.383297591741294
4,long,c_0_37,2,15,2.312135525216437
4,long,c_0_37,2,14,2.240661440532636
4,long,c_0_37,2,13,2.168763864686287
4,long,c_0_37,2,12,2.0967024317470413
4,long,c_0_37,2,11,2.0241497332224125
4,long,c_0_37,2,10,1.9519199996061514
4,long,c_0_37,2,9,1.8797429424788614
4,long,c_0_37,2,8,1.8079997818117188
4,long,c_0_37,2,7,1.7397857921050457
4,long,c_0_37,2,6,1.6764569054707765
4,long,c_0_37,2,5,1.6255805467348783
4,long,c_0_37,2,4,1.595843592038905
4,long,c_0_37,2,3,1.6066167398788904
4,long,c_0_37,2,2,1.691437956935702
4,long,c_0_37,2,1,1.8815758299176313
4,long,c_0_37,2,0,2.315368750780334
4,long,c_0_37,3,50,4.542510113723707
4,long,c_0_37,3,49,4.4495314682203855
4,long,c_0_37,3,48,4.358369635838702
4,long,c_0_37,3,47,4.269343604584743
4,long,c_0_37,3,46,4.182288338782903
4,long,c_0_37,3,45,4.097246927333725
4,long,c_0_37,3,44,4.013943129126233
4,long,c_0_37,3,43,3.9317683574577216
4,long,c_0_37,3,42,3.851420380053389
4,long,c_0_37,3,41,3.7729048010589743
4,long,c_0_37,3,40,3.6954116533124495
4,long,c_0_37,3,39,3.619554245508886
4,long,c_0_37,3,38,3.5447850625598654
4,long,c_0_37,3,37,3.4709019727277073
4,long,c_0_37,3,36,3.398188711610406
4,long,c_0_37,3,35,3.3256913327169073
4,long,c_0_37,3,34,3.2543709299054893
4,long,c_0_37,3,33,3.183651782967924
4,long,c_0_37,3,32,3.1135798914208577
4,long,c_0_37,3,31,3.0443839873797796
4,long,c_0_37,3,30,2.9760585489321816
4,long,c_0_37,3,29,2.9081002619254677
4,long,c_0_37,3,28,2.840922001401236
4,long,c_0_37,3,27,2.773682510377815
4,long,c_0_37,3,26,2.706212988458066
4,long,c_0_37,3,25,2.639698542107553
4,long,c_0_37,3,24,2.573434601493393
4,long,c_0_37,3,23,2.5074331410670454
4,long,c_0_37,3,22,2.4418167444722543
4,long,c_0_37,3,21,2.376199798559022
4,long,c_0_37,3,20,2.3098829905533464
4,long,c_0_37,3,19,2.2438903999831195
4,long,c_0_37,3,18,2.1777342636017694
4,long,c_0_37,3,17,2.111841628619076
4,long,c_0_37,3,16,2.045804458905877
4,long,c_0_37,3,15,1.9801095476625943
4,long,c_0_37,3,14,1.914223593605143
4,long,c_0_37,3,13,1.8484737713946569
4,long,c_0_37,3,12,1.7831111452595265
4,long,c_0_37,3,11,1.7181556351203708
4,long,c_0_37,3,10,1.654669150721967
4,long,c_0_37,3,9,1.5926374599486441
4,long,c_0_37,3,8,1.5335009258150492
4,long,c_0_37,3,7,1.4810413473420236
4,long,c_0_37,3,6,1.4378421899666736
4,long,c_0_37,3,5,1.413916783220051
4,long,c_0_37,3,4,1.4204356876544397
4,long,c_0_37,3,3,1.4788487032621762
4,long,c_0_37,3,2,1.6248030668904385
4,long,c_0_37,3,1,1.8820044291952402
4,long,c_0_37,3,0,2.400399293708483
4,long,c_0_37,4,50,4.141395990701162
4,long,c_0_37,4,49,4.0550207863378445
4,long,c_0_37,4,48,3.9702754341590434
4,long,c_0_37,4,47,3.8874333724805212
4,long,c_0_37,4,46,3.806383935716128
4,long,c_0_37,4,45,3.7271418223990285
4,long,c_0_37,4,44,3.6494481435126613
4,long,c_0_37,4,43,3.5727942584624883
4,long,c_0_37,4,42,3.4977613207539333
4,long,c_0_37,4,41,3.4244038009499276
4,long,c_0_37,4,40,3.3519715890002932
4,long,c_0_37,4,39,3.281002009194618
4,long,c_0_37,4,38,3.211022889380395
4,long,c_0_37,4,37,3.1418017972986303
4,long,c_0_37,4,36,3.0735958367222045
4,long,c_0_37,4,35,3.005560019371928
4,long,c_0_37,4,34,2.938588812970226
4,long,c_0_37,4,33,2.8721539010858503
4,long,c_0_37,4,32,2.8062461667495415
4,long,c_0_37,4,31,2.7412045395196825
4,long,c_0_37,4,30,2.676970749678874
4,long,c_0_37,4,29,2.6130309251740886
4,long,c_0_37,4,28,2.5498074201149383
4,long,c_0_37,4,27,2.4865252163338867
4,long,c_0_37,4,26,2.4229441350588528
4,long,c_0_37,4,25,2.360295957764356
