date,lo,hi,diff,cat
1982-06-01,5.888077395655827,6.544738186151704,0.6566607904958772,2
1982-07-01,5.8545064706440115,6.592529916596163,0.7380234459521517,2
1982-08-01,5.881571450557516,6.370971615196197,0.4894001646386812,2
1982-09-01,5.599916117873917,6.092050073823003,0.49213395594908604,2
1982-10-01,5.255450191351002,6.1093323846792345,0.8538821933282321,2
1982-11-01,5.188824883518066,5.882907736200508,0.6940828526824419,1
1982-12-01,4.910511859839531,5.828321744033076,0.9178098841935451,1
1983-01-01,4.729837442632686,5.902542669686412,1.1727052270537257,1
1983-02-01,4.753223220307049,5.886867935060707,1.1336447147536575,1
1983-03-01,4.683095111612204,5.560187115001611,0.8770920033894072,1
1983-04-01,4.443906863978867,5.462136415011628,1.0182295510327606,1
1983-05-01,4.567543741365213,5.169038408631607,0.6014946672663939,1
1983-06-01,4.331713217080548,5.005934989043098,0.6742217719625501,1
1983-07-01,4.157276436561148,5.032658985757067,0.8753825491959191,1
1983-08-01,3.8797081106934854,5.090868043797258,1.2111599331037723,1
1983-09-01,3.7910578785699443,5.126071211678166,1.335013333108222,1
1983-10-01,3.8617796259696746,4.648979683064752,0.7872000570950775,1
1983-11-01,3.6302238211141713,4.507192802743518,0.8769689816293464,1
1983-12-01,3.7393577619557306,4.253146573730831,0.5137888117751004,1
1984-01-01,3.7147260412191656,4.088222612689989,0.3734965714708238,1
1984-02-01,3.6481886773525076,4.158154859967041,0.5099661826145336,1
1984-03-01,3.7038968279107394,4.4205076453941246,0.7166108174833852,1
1984-04-01,3.8568262923221397,4.595262570809936,0.7384362784877965,1
1984-05-01,3.840159344329493,4.6869198680848285,0.8467605237553357,1
1984-06-01,3.7642964489467374,4.445555531401496,0.6812590824547584,1
1984-07-01,3.787434841672848,4.270491086332299,0.4830562446594513,1
1984-08-01,3.878772317710883,4.348527790527285,0.4697554728164022,1
1984-09-01,3.7399974324960397,4.40817741657564,0.6681799840796003,1
1984-10-01,3.788898143995212,4.432798123990338,0.6438999799951262,1
1984-11-01,3.7673130193905706,4.504019165924291,0.7367061465337201,1
1984-12-01,3.837006366412666,4.339870954362723,0.5028645879500573,1
1985-01-01,3.9496102515258684,4.565203998808798,0.6155937472829294,1
1985-02-01,3.8034918614689985,4.482871824088647,0.6793799626196488,1
1985-03-01,3.8871712684358926,4.532177193682912,0.6450059252470197,1
1985-04-01,3.8266906444732456,4.498579742649326,0.6718890981760808,1
1985-05-01,3.695348043005737,4.254158585460118,0.5588105424543812,1
1985-06-01,3.7669215949886166,4.379915605014489,0.6129940100258722,1
1985-07-01,3.816680759831968,4.405584312536433,0.5889035527044655,1
1985-08-01,3.612165236667124,4.1296381801771815,0.5174729435100573,1
1985-09-01,3.5857882752450507,4.120777131543136,0.5349888562980851,1
1985-10-01,3.5479957899176924,4.053915011832501,0.5059192219148088,1
1985-11-01,3.495204688484961,4.088463591933959,0.5932589034489979,1
1985-12-01,3.624921142967821,3.9598290073837603,0.3349078644159391,1
1986-01-01,3.631749183002313,3.937760602054311,0.30601141905199825,1
1986-02-01,3.6685552407931965,3.959164274484124,0.2906090336909273,1
1986-03-01,3.5137197073383106,3.753556774940492,0.23983706760218126,0
1986-04-01,3.332959034819055,3.6856521388866526,0.3526931040675976,0
1986-05-01,3.3898348837376773,3.7810752515501633,0.39124036781248606,0
1986-06-01,3.3166673228741956,3.6407561193909714,0.3240887965167758,0
1986-07-01,3.310891267064491,3.6231557436835544,0.3122644766190632,0
1986-08-01,3.0666931321952973,3.6879244012257573,0.62123126903046,0
1986-09-01,3.1930908802788878,3.6314820790569087,0.4383911987780209,0
1986-10-01,3.305344832600696,3.6853242616893027,0.37997942908860693,0
1986-11-01,3.3439207717650845,3.85593926913657,0.5120184973714856,0
1986-12-01,3.197119641135629,3.8647991084987012,0.6676794673630724,0
1987-01-01,2.8903543961957894,3.792464013367521,0.9021096171717318,0
1987-02-01,2.834110827006043,3.802730156727293,0.9686193297212498,0
1987-03-01,2.8255074043083113,3.8687977479571174,1.0432903436488061,0
1987-04-01,3.0748611165067388,4.012569013273463,0.9377078967667245,1
1987-05-01,3.187899941826643,4.165565836564696,0.9776658947380525,1
1987-06-01,3.1609473175447107,4.2702775481754145,1.1093302306307038,1
1987-07-01,3.240124278739458,4.204509567433945,0.964385288694487,1
1987-08-01,3.377948964853175,4.23980000660751,0.8618510417543348,1
1987-09-01,3.4474815724815784,4.458928484455683,1.0114469119741045,1
1987-10-01,3.537198936353363,4.408514757412576,0.8713158210592127,1
1987-11-01,3.5335216860109995,4.324439516400247,0.7909178303892475,1
1987-12-01,3.6166399755967404,4.328828847050417,0.7121888714536766,1
1988-01-01,3.6793438260539517,4.254441107917444,0.5750972818634921,1
