category,rate,weight
          Electricity (27),4.0162633163085815,0.012799116530122811
        Life insurance (110),4.077369730789513,0.006082171618762492
        Social advocacy and civic and social organizations,4.2703019907010145,0.0012372109186767279
        Maintenance and repair of recreational vehicles and sports equipment,4.294873538827076,4.3341872551014624e-4
        Lubricants and fluids,4.307127704052419,6.194881858668979e-4
          Hairdressing salons and personal grooming establishments,4.373844682121259,0.0049249171398545455
"        Flowers, seeds, and potted plants",4.539935927060242,0.00397998162070449
          Other personal business services,4.540241905819727,0.0013167027655357547
        Window coverings,4.590169663294347,0.0016210575807160492
        Veterinary and other services for pets,4.817583457046396,0.0038404179106141826
        Dental services (45),4.824130403798705,0.010177651036831997
          Water supply and sewage maintenance,4.978611819167327,0.005097234650082558
        Child care,4.981774912640091,0.0032318011988355442
          Day care and nursery schools,4.982230521338408,0.0010313962596554022
            Fresh milk,5.101646141469146,0.0015139224557266186
            Fruit (fresh),5.125550544841985,0.003001316656306245
        Net health insurance (112),5.252329160340793,0.014057931019103131
          Laundry and drycleaning services,5.346790218719917,7.745228398520365e-4
        Net household insurance (111),5.530463299830913,9.646342585236538e-4
          Pleasure aircraft,5.560125732791832,1.326877350259382e-4
          Pleasure boats,5.560222027866061,0.0018019700597745238
        Bicycles and accessories,5.560366476731502,3.627541439364586e-4
          Other recreational vehicles,5.560846377614624,0.0017140226219579619
        Newspapers and periodicals,5.985799870111876,0.004738522464460966
"      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)",6.177755349849406,0.00827328469974754
        Repair of household appliances,6.286973481460748,5.813451079760382e-4
"        Repair of furniture, furnishings, and floor coverings",6.286989424662835,1.2404630690450108e-4
        Nonelectric cookware and tableware,6.468639027707312,0.0014934803676974126
"          Clothing repair, rental, and alterations",6.580629333608783,3.3957095773969975e-4
          Miscellaneous personal care services,6.580714304160324,0.006258531087305371
          Repair and hire of footwear,6.580884251846484,2.1138977393838197e-5
        Accessories and parts,6.602472749682249,0.0036981131023563225
        Motor vehicle maintenance and repair (60),6.62176671547094,0.01357043367889754
"          Coffee, tea, and other beverage materials",6.67324430575313,0.0013058777507384705
            Vegetables (fresh),6.69369476344761,0.003313290795206516
      Tobacco (127),6.705981885139849,0.005279587367161272
            Intracity mass transit,6.973299195318219,0.0010181553617273937
            Taxicabs and ride sharing services,6.9743815041598936,0.001999096831383437
          Fish and seafood,7.046512004928431,0.0011114456180061345
          Sugar and sweets,7.405284129916282,0.0037580455877146766
        Domestic services,7.668792344715314,0.001970245611687671
        Other household services,7.803015406864262,0.002241056818783677
"            Audio discs, tapes, vinyl, and permanent digital downloads",7.974260487853542,1.5020288772368988e-4
          Other video equipment,9.169362278560868,5.307973993947284e-4
"            Video discs, tapes, and permanent digital downloads",9.179469273742995,6.873187506910819e-4
            Beef and veal,9.759078101750717,0.003173587707243282
        Film and photographic supplies,9.914142487270922,6.968893646320284e-5
          Commercial banks,9.91794970799748,0.013575172526577037
        Dishes and flatware,10.440977766859106,0.001536966264050451
        Watches,10.551223996459086,9.242611346659716e-4
        Sewing items,12.890617047698541,5.714492789982633e-5
        Clothing materials,12.890879478827372,1.412827038563999e-4
"        Financial service charges, fees, and commissions (108)",14.065398565772355,0.029260851264296686
        Jewelry,15.671363466838883,0.004407453556969776
        Air transportation (64),16.770215644022215,0.010800344913776202
          Computer software and accessories,21.176788431185756,0.011336113457305305
        Gasoline and other motor fuel,25.63651277803882,0.02064762393248164
        Fuel oil,37.54327599264306,0.001230381402903334
